Dato,Region Nordjylland,Region Midtjylland,Region Syddanmark,Region Hovedstaden,Region Sjælland,Hele landet
2020-03-12,,,,,,19
2020-03-13,,,,,,23
2020-03-14,,,,,,23
2020-03-15,,,,,,28
2020-03-16,6,8,9,26,13,62
2020-03-17,6,12,10,36,18,82
2020-03-18,10,16,12,64,27,129
2020-03-19,11,19,15,77,31,153
2020-03-20,14,23,22,90,37,186
2020-03-21,15,20,26,104,41,206
2020-03-22,17,22,26,120,47,232
2020-03-23,17,28,29,131,49,254
2020-03-24,20,40,36,150,55,301
2020-03-25,23,56,47,170,54,350
2020-03-26,27,52,51,193,63,386
2020-03-27,30,59,54,215,72,430
2020-03-28,27,68,66,230,68,459
2020-03-29,31,66,79,240,83,499
2020-03-30,33,67,83,259,91,533
2020-03-31,31,69,79,255,95,529
2020-04-01,29,77,82,260,87,535
2020-04-02,32,77,84,246,86,525
2020-04-03,29,79,84,240,85,517
