Dato,Region Nordjylland,Region Midtjylland,Region Syddanmark,Region Hovedstaden,Region Sjælland,Hele landet
2020-03-12,,,,,,3
2020-03-13,,,,,,4
2020-03-14,,,,,,4
2020-03-15,,,,,,2
2020-03-16,0,2,0,4,4,10
2020-03-17,0,3,1,7,7,18
2020-03-18,1,4,2,10,7,24
2020-03-19,1,5,4,13,7,30
2020-03-20,2,5,5,16,9,37
2020-03-21,3,6,6,17,10,42
2020-03-22,4,5,6,22,9,46
2020-03-23,4,6,6,29,10,55
2020-03-24,7,12,7,33,10,69
2020-03-25,7,17,13,39,11,87
2020-03-26,8,17,14,42,13,94
2020-03-27,9,19,14,53,14,109
2020-03-28,10,21,18,58,14,121
2020-03-29,10,26,17,60,18,131
2020-03-30,9,22,21,63,22,137
2020-03-31,12,24,22,68,19,145
2020-04-01,10,26,23,67,20,146
2020-04-02,9,24,26,66,21,146
2020-04-03,9,25,25,62,18,139
2020-04-04,10,25,25,61,17,138
2020-04-05,11,21,25,61,20,138
2020-04-06,11,22,23,60,17,133
2020-04-07,11,19,22,58,17,127
2020-04-08,10,21,22,57,17,127
2020-04-09,10,20,21,55,14,120
2020-04-10,9,17,17,56,14,113
2020-04-11,9,19,15,49,14,106
2020-04-12,9,15,15,52,13,104
2020-04-13,9,14,14,50,13,100
2020-04-14,9,15,12,45,12,93
2020-04-15,8,15,11,43,12,89
2020-04-16,7,16,11,46,12,92
2020-04-17,8,16,11,46,12,93
2020-04-18,8,16,10,44,9,87
2020-04-19,7,16,9,42,10,84
2020-04-20,7,17,9,42,9,84
2020-04-21,7,17,8,40,9,81
2020-04-22,7,17,8,39,9,80
2020-04-23,7,15,7,37,8,74
2020-04-24,6,13,6,36,8,69
2020-04-25,7,13,6,36,8,70
2020-04-26,7,13,5,37,8,70
2020-04-27,7,15,4,38,8,72
2020-04-28,7,14,3,35,7,66
2020-04-29,7,14,3,33,9,66
2020-04-30,7,14,3,31,7,62
2020-05-01,7,12,4,31,7,61
2020-05-02,7,12,4,29,8,60
2020-05-03,7,12,4,30,9,62
2020-05-04,7,12,4,28,6,57
2020-05-05,4,11,4,26,4,49
2020-05-06,4,11,2,25,4,46
2020-05-07,4,11,2,22,4,43
2020-05-08,4,11,2,21,4,42
2020-05-09,4,9,2,20,4,39
2020-05-10,4,9,2,20,5,40
2020-05-11,4,9,3,22,5,43
2020-05-12,4,9,3,22,5,43
2020-05-13,4,7,3,20,3,37
2020-05-14,4,7,1,19,4,35
2020-05-15,4,5,1,18,4,32
2020-05-16,4,4,1,16,3,28
2020-05-17,4,3,1,16,3,27
2020-05-18,4,3,1,15,3,26
2020-05-19,4,3,1,14,3,25
2020-05-20,4,4,1,13,3,25
2020-05-21,4,2,0,13,4,23
2020-05-22,4,3,0,12,4,23
2020-05-23,3,3,0,10,3,19
2020-05-24,4,3,0,11,3,21
2020-05-25,4,2,0,11,3,20
2020-05-26,4,2,0,14,3,23
2020-05-27,4,2,0,14,2,22
2020-05-28,4,1,0,13,2,20
2020-05-29,4,1,0,11,2,18
2020-05-30,4,1,0,13,2,20
2020-05-31,4,1,0,13,2,20
2020-06-01,4,1,0,13,2,20
2020-06-02,4,1,1,13,2,21
2020-06-03,4,1,1,13,1,20
2020-06-04,4,0,1,11,1,17
2020-06-05,3,0,1,11,2,17
2020-06-06,3,0,0,11,1,15
2020-06-07,3,0,0,11,1,15
2020-06-08,3,0,0,12,1,16
2020-06-09,3,0,0,11,1,15
2020-06-10,3,0,0,12,2,17
2020-06-11,3,0,0,8,2,13
2020-06-12,2,0,0,8,2,12
2020-06-13,2,0,0,7,0,9
2020-06-14,2,0,0,7,0,9
2020-06-15,2,0,0,7,0,9
2020-06-16,1,0,0,7,0,8
2020-06-17,1,0,0,4,1,6
