Dato,Region Nordjylland,Region Midtjylland,Region Syddanmark,Region Hovedstaden,Region Sjælland,Hele landet
2020-03-16,0,0,0,0,0,0
2020-03-17,0,3,1,0,0,4
2020-03-18,1,4,2,4,7,18
2020-03-19,1,5,4,10,7,27
2020-03-20,1,5,5,13,8,32
2020-03-21,1,5,6,14,9,35
2020-03-22,2,5,5,20,8,40
2020-03-23,2,6,6,23,10,47
2020-03-24,2,12,7,27,10,58
2020-03-25,5,15,12,33,11,76
2020-03-26,7,16,12,32,11,78
2020-03-27,8,14,13,43,11,89
2020-03-28,8,17,17,50,12,104
2020-03-29,8,19,17,55,14,113
2020-03-30,8,19,19,57,16,119
2020-03-31,8,20,22,65,16,131
2020-04-01,5,22,22,62,17,128
2020-04-02,7,24,25,54,14,124
2020-04-03,7,25,24,53,13,122
2020-04-04,7,21,25,50,13,116
2020-04-05,8,20,23,48,12,111
2020-04-06,7,20,23,48,12,110
2020-04-07,6,15,22,46,14,103
2020-04-08,7,17,21,45,13,103
2020-04-09,7,18,20,45,10,100
2020-04-10,7,17,16,45,10,95
2020-04-11,7,18,14,40,11,90
2020-04-12,8,14,14,39,10,85
2020-04-13,8,14,12,43,10,87
2020-04-14,6,14,10,40,10,80
2020-04-15,6,14,9,37,9,75
2020-04-16,5,14,9,36,8,72
2020-04-17,7,14,9,35,9,74
2020-04-18,7,16,8,37,8,76
2020-04-19,7,15,8,35,8,73
2020-04-20,7,16,8,35,6,72
2020-04-21,7,16,7,36,6,72
2020-04-22,7,14,7,34,6,68
2020-04-23,5,14,6,32,4,61
2020-04-24,5,12,5,32,4,58
2020-04-25,5,12,5,30,4,56
2020-04-26,6,12,4,30,4,56
2020-04-27,6,12,3,30,4,55
2020-04-28,6,12,2,26,4,50
2020-04-29,6,13,2,25,4,50
2020-04-30,6,13,2,25,4,50
2020-05-01,4,12,2,22,4,44
2020-05-02,4,12,3,21,4,44
2020-05-03,4,12,3,23,4,46
2020-05-04,4,12,3,22,4,45
2020-05-05,4,9,3,20,3,39
2020-05-06,4,10,2,22,3,41
2020-05-07,4,10,2,20,3,39
2020-05-08,3,9,2,18,3,35
2020-05-09,2,8,2,17,3,32
2020-05-10,3,8,2,17,3,33
2020-05-11,3,6,2,18,4,33
2020-05-12,3,6,3,16,4,32
